time,flexion
10,134
20,133
30,133
40,132
50,130
60,131
70,130
80,130
90,130
100,129
110,128
120,128
130,126
140,128
150,127
160,127
171,127
181,127
191,126
201,125
211,126
221,125
231,124
241,123
251,124
261,123
271,123
281,122
291,122
301,122
311,121
321,121
331,119
342,118
352,113
362,115
372,113
382,112
392,109
402,109
412,109
422,108
432,106
442,105
452,104
462,104
472,105
482,104
492,102
502,102
512,102
522,101
532,100
542,99
552,98
562,97
572,97
582,95
592,95
602,94
612,94
622,92
632,90
642,91
652,90
662,88
672,88
683,88
693,88
703,86
713,85
723,85
733,84
743,83
753,83
763,82
773,82
783,81
793,80
803,80
813,79
823,78
833,77
843,76
854,76
864,76
874,75
884,75
894,75
904,75
914,74
924,74
934,74
944,70
954,73
964,72
974,73
984,73
994,72
1004,72
1014,70
1024,72
1034,71
1044,71
1054,71
1064,71
1074,71
1084,71
1094,71
1104,71
1114,71
1124,71
1134,72
1144,71
1154,71
1164,71
1174,71
1184,71
1195,71
1205,74
1215,71
1225,72
1235,72
1245,72
1255,72
1265,72
1275,73
1285,73
1295,74
1305,75
1315,76
1325,78
1335,79
1345,81
1355,83
1366,87
1376,90
1386,95
1396,98
1406,103
1416,107
1426,112
1436,117
1446,122
1456,126
1466,131
1476,136
1486,140
1496,143
1506,147
1516,150
1526,152
1536,154
1546,155
1556,157
1566,158
1576,161
1586,161
1596,162
1606,163
1616,163
1626,165
1636,154
1646,166
1656,166
1666,167
1676,167
1686,169
1696,169
1707,170
1717,170
1727,171
1737,171
1747,171
1757,168
1767,172
1777,173
1787,172
1797,173
1807,173
1817,174
1827,175
1837,175
1847,175
1857,176
1867,175
1878,176
1888,176
1898,175
1908,174
1918,176
1928,177
1938,176
1948,176
1958,180
1968,174
1978,175
1988,175
1998,171
2008,171
2018,168
2028,164
2038,162
2048,159
2058,156
2068,153
2078,147
2088,145
2098,144
2108,136
2118,133
2128,128
2138,123
2148,121
2158,126
2168,116
2178,115
2188,109
2198,110
2208,107
2219,106
2229,106
2239,103
2249,102
2259,100
2269,100
2279,98
2289,96
2299,96
2309,92
2319,93
2329,91
2339,90
2349,89
2359,88
2369,88
2379,99
2390,86
2400,86
2410,85
2420,81
2430,83
2440,83
2450,83
2460,81
2470,81
2480,80
2490,80
2500,79
2510,79
2520,77
2530,78
2540,79
2550,77
2560,77
2570,74
2580,76
2590,75
2600,75
2610,74
2620,74
2630,72
2640,73
2650,72
2660,71
2670,71
2680,71
2690,70
2700,69
2710,68
2720,70
2731,69
2741,69
2751,69
2761,69
2771,69
2781,69
2791,68
2801,68
2811,68
2821,68
2831,68
2841,68
2851,68
2861,67
2871,67
2881,68
2891,67
2902,68
2912,68
2922,68
2932,68
2942,70
2952,68
2962,68
2972,67
2982,64
2992,67
3002,67
3012,67
3022,67
3032,67
3042,69
3052,67
3062,68
3072,65
3082,68
3092,68
3102,68
3112,68
3122,68
3132,68
3142,69
3152,68
3162,68
3172,68
3182,68
3192,68
3202,68
3212,68
3222,65
3232,68
3243,68
3253,68
3263,69
3273,68
3283,69
3293,69
3303,68
3313,68
3323,64
3333,68
3343,68
3353,69
3363,69
3373,69
3383,70
3393,70
3403,71
3414,71
3424,73
3434,72
3444,76
3454,68
3464,81
3474,83
3484,86
3494,91
3504,97
3514,101
3524,106
3534,112
3544,116
3554,115
3564,126
3574,129
3584,132
3594,135
3604,138
3614,132
3624,143
3634,145
3644,143
3654,147
3664,149
3674,151
3684,149
3694,153
3704,153
3714,155
3724,155
3734,154
3744,159
3755,159
3765,158
3775,159
3785,161
3795,160
3805,159
3815,161
3825,162
3835,163
3845,162
3855,162
3865,163
3875,164
3885,163
3895,163
3905,176
3915,164
3926,165
3936,164
3946,164
3956,165
3966,165
3976,166
3986,167
3996,165
4006,165
4016,165
4026,166
4036,162
4046,166
4056,167
4066,167
4076,167
4086,168
4096,172
4106,168
4116,180
4126,168
4136,168
4146,169
4156,167
4166,169
4176,169
4186,164
4196,169
4206,170
4216,171
4226,173
4236,170
4246,170
4256,169
4267,170
4277,169
4287,170
4297,169
4307,170
4317,169
